,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
376,she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks how many children will go trick or treating in annie 's village ?,6 9,* number0 number1,54.0,"[2, 36, 5, 37, 38, 8, 12, 15, 18, 19, 20, 22, 24, 25, 26]",3,Multiplication,she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?
377,annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block how much time would it take for her to finish trick or treating ?,9 8,* number0 number1,72.0,"[4, 38, 39, 40, 10, 11, 12, 22, 23, 24, 26]",3,Multiplication,annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block,how much time would it take for her to finish trick or treating ?
378,finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1 how much did she spend on all the costumes ?,4 2.00,* number0 number1,8.0,"[32, 4, 39, 43, 44, 45, 14, 16, 51, 52, 53, 29, 30, 31]",3,Multiplication,finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1,how much did she spend on all the costumes ?
379,being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots how many flying robots does michael have ?,4 3,* number0 number1,12.0,"[2, 4, 5, 6, 7, 8, 12, 15, 16, 17, 18, 23, 24, 25]",3,Multiplication,being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?
380,tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2 how much should tom pay ?,1 3 3.00,* number1 number2,9.0,"[32, 10, 11, 12, 46, 47, 48, 50, 51, 52, 30, 31]",3,Multiplication,tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2,how much should tom pay ?
381,before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots . how many robots does tom have in his collection ?,6 7,* number0 number1,42.0,"[1, 5, 37, 38, 39, 17, 18, 19, 23, 27, 28, 29]",3,Multiplication,before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots .,how many robots does tom have in his collection ?
382,michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ) what is the total value of money does she have in nickels ?,1 20 5,* number1 number2,100.0,"[5, 72, 73, 74, 51, 52, 53, 22, 23, 59, 60, 61]",3,Multiplication,michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ),what is the total value of money does she have in nickels ?
383,daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep how many sheep do they have in total ?,1 3 20,* number1 number2,60.0,"[64, 34, 35, 2, 70, 71, 72, 10, 14, 18, 54, 55, 56, 60, 62, 63]",3,Multiplication,daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep,how many sheep do they have in total ?
384,ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd . how many cows do they have in total if there are number1 cow herds in the farm ?,40 8,* number0 number1,320.0,"[1, 5, 42, 43, 44, 45, 10, 46, 47, 48, 24, 25, 26, 28]",3,Multiplication,ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd .,how many cows do they have in total if there are number1 cow herds in the farm ?
385,both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop . how many chickens do they have in total ?,9 60 1,* number0 number1,540.0,"[32, 33, 34, 35, 36, 37, 1, 5, 44, 13, 45, 46, 23, 24, 25, 26]",3,Multiplication,both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .,how many chickens do they have in total ?
386,ben was also given number0 trays of eggs to examine . if each tray has number1 eggs how many eggs did ben examine in total ?,7 10,* number0 number1,70.0,"[3, 4, 5, 7, 11, 12, 14, 15, 16, 22, 23, 24]",3,Multiplication,ben was also given number0 trays of eggs to examine . if each tray has number1 eggs,how many eggs did ben examine in total ?
387,after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres . what is the total area of the farm ?,5 60,* number1 number0,300.0,"[32, 11, 12, 13, 15, 21, 22, 23, 30, 31]",3,Multiplication,after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres .,what is the total area of the farm ?
388,jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes how many minutes of sleep did she have ?,8 60,* number0 number1,480.0,"[38, 39, 40, 9, 16, 49, 50, 51, 57, 58, 59]",3,Multiplication,jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes,how many minutes of sleep did she have ?
389,she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 cents how much did jenny spend for her breakfast ?,5 30,* number0 number1,150.0,"[1, 36, 5, 37, 38, 15, 16, 17, 24, 28, 29, 30]",3,Multiplication,she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 cents,how much did jenny spend for her breakfast ?
390,to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids . how many kids in total can ride the school bus ?,20 4,* number0 number1,80.0,"[32, 33, 1, 6, 42, 43, 44, 20, 21, 22, 26, 31]",3,Multiplication,to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids .,how many kids in total can ride the school bus ?
391,when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms . how many classrooms does the school have ?,9 30,* number0 number1,270.0,"[1, 6, 12, 13, 14, 15, 16, 17, 18, 24, 25, 26]",3,Multiplication,when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms .,how many classrooms does the school have ?
392,she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers . how many teachers are there in total ?,7 20,* number0 number1,140.0,"[1, 35, 4, 5, 6, 36, 37, 14, 18, 19, 20, 25, 27, 28, 29]",3,Multiplication,she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers .,how many teachers are there in total ?
393,stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall how tall is sky falls ?,1 20 9,* number1 number2,180.0,"[64, 65, 34, 35, 36, 66, 70, 71, 72, 48, 49, 50]",3,Multiplication,stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall,how tall is sky falls ?
394,when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual . how many minutes did it take stanley to get to the top ?,30 7,* number0 number1,210.0,"[1, 2, 5, 39, 40, 41, 18, 19, 20, 56, 57, 58]",3,Multiplication,when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual .,how many minutes did it take stanley to get to the top ?
395,after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city how far is the rocky mist from the city ?,50 8,* number0 number1,400.0,"[41, 42, 43, 16, 17, 18, 29, 30, 31]",3,Multiplication,after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city,how far is the rocky mist from the city ?
396,before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1 how much did he spend for tires in total ?,4 60.00,* number0 number1,240.0,"[33, 2, 34, 35, 11, 12, 20, 21, 22, 23, 25, 26, 27]",3,Multiplication,before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1,how much did he spend for tires in total ?
397,it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each . how many flowers did he buy for the nursing home ?,3 90,* number0 number1,270.0,"[1, 35, 36, 37, 39, 40, 41, 42, 51, 52, 53]",3,Multiplication,it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each .,how many flowers did he buy for the nursing home ?
398,vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each how many people are working for the party ?,5 50,* number0 number1,250.0,"[32, 2, 5, 38, 39, 40, 26, 27, 28, 29, 30, 31]",3,Multiplication,vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each,how many people are working for the party ?
399,after the day they were able to make number0 institutions happy . if each institution has number1 people . how many people were made happy by the mayor and vice-mayor ?,6 80,* number0 number1,480.0,"[1, 3, 7, 8, 9, 13, 15, 16, 17, 27, 28, 29]",3,Multiplication,after the day they were able to make number0 institutions happy . if each institution has number1 people .,how many people were made happy by the mayor and vice-mayor ?
400,dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent how much did they pay in total ?,7 70.00,* number0 number1,490.0,"[39, 40, 41, 10, 46, 48, 49, 50, 57, 58, 59]",3,Multiplication,dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent,how much did they pay in total ?
401,dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there how many sets of clothes did he bring ?,30 4,* number0 number1,120.0,"[32, 33, 34, 9, 41, 42, 43, 15, 16, 17, 18, 22]",3,Multiplication,dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there,how many sets of clothes did he bring ?
402,after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet how deep was the water ?,10 6,* number0 number1,60.0,"[32, 16, 17, 18, 25, 26, 27, 30, 31]",3,Multiplication,after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet,how deep was the water ?
403,mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles how much would the ride cost mark ?,8.00 40,* number0 number1,320.0,"[32, 33, 3, 16, 17, 18, 19, 24, 25, 26, 31]",3,Multiplication,mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles,how much would the ride cost mark ?
404,bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves how many mineral samples does he have ?,1 65 7,* number1 number2,455.0,"[1, 2, 66, 67, 68, 60, 47, 48, 49, 14, 61, 52, 18, 19, 23, 59, 28, 29, 30]",3,Multiplication,bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves,how many mineral samples does he have ?
405,bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves how many books does he have in total ?,56 9,* number0 number1,504.0,"[2, 12, 13, 14, 16, 18, 19, 20, 26, 27, 28]",3,Multiplication,bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves,how many books does he have in total ?
406,bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each how much money did bryan get in total ?,8 1785.00,* number0 number1,14280.0,"[1, 2, 3, 4, 33, 34, 35, 25, 26, 27]",3,Multiplication,bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?
407,it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily . how many apples are harvested every day ?,45 8,* number0 number1,360.0,"[64, 5, 42, 43, 44, 48, 50, 51, 52, 62, 63]",3,Multiplication,it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?
408,next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants how many kilograms of strawberries can they harvest ?,268 7,* number0 number1,1876.0,"[32, 2, 7, 41, 42, 43, 16, 17, 18, 22, 30, 31]",3,Multiplication,next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants,how many kilograms of strawberries can they harvest ?
409,he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day . how many sacks of oranges will they have after number1 days of harvest ?,83 6,* number0 number1,498.0,"[32, 1, 33, 5, 7, 15, 16, 17, 18, 29, 30, 31]",3,Multiplication,he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many sacks of oranges will they have after number1 days of harvest ?
410,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day . how many drums of grapes would be filled in number2 days ?,1 324 9,* number1 number2,2916.0,"[1, 39, 40, 41, 9, 17, 18, 19, 20, 23, 24, 25, 28]",3,Multiplication,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day .,how many drums of grapes would be filled in number2 days ?
411,if lewis earns $ number0 every week during the number1 weeks of harvest . how much money does he earn during harvest season ?,1367.00 5,* number0 number1,6835.0,"[2, 3, 4, 5, 8, 9, 10, 20, 21, 22]",3,Multiplication,if lewis earns $ number0 every week during the number1 weeks of harvest .,how much money does he earn during harvest season ?
412,tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds how many pairs does he have in total ?,29 7,* number0 number1,203.0,"[64, 2, 3, 4, 40, 41, 42, 9, 44, 13, 50, 52, 53, 54, 62, 63]",3,Multiplication,tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds,how many pairs does he have in total ?
413,another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes how many fishes does he have in total ?,6 175,* number0 number1,1050.0,"[32, 2, 11, 12, 13, 14, 16, 20, 21, 22, 23, 24, 30, 31]",3,Multiplication,another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes,how many fishes does he have in total ?
414,he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it . how many saltwater animals does tyler have ?,8 64,* number0 number1,512.0,"[1, 2, 3, 4, 6, 9, 11, 12, 13, 21, 22, 23]",3,Multiplication,he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it .,how many saltwater animals does tyler have ?
415,the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles how many reptiles are living in the swamp areas ?,4 356,* number0 number1,1424.0,"[32, 33, 2, 6, 8, 11, 14, 17, 18, 19, 20, 21, 22, 23, 24, 31]",3,Multiplication,the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles,how many reptiles are living in the swamp areas ?
416,there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet . what is the total area of the undeveloped land ?,3 2435,* number0 number1,7305.0,"[1, 2, 3, 4, 9, 18, 19, 20, 29, 30, 31]",3,Multiplication,there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .,what is the total area of the undeveloped land ?
417,it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets how much money did they spend on tickets ?,44.00 7,* number0 number1,308.0,"[64, 65, 3, 8, 43, 48, 51, 52, 53, 55, 56, 57, 63]",3,Multiplication,it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets,how much money did they spend on tickets ?
418,they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people how many people can the tent accommodate in total ?,4 246,* number0 number1,984.0,"[32, 4, 8, 9, 10, 11, 12, 13, 18, 21, 22, 23, 30, 31]",3,Multiplication,they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people,how many people can the tent accommodate in total ?
419,the first act included number0 clown mobiles each stuffed with number1 clowns . how many clowns are inside all the clown mobiles combined ?,5 28,* number0 number1,140.0,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 20, 21, 22]",3,Multiplication,the first act included number0 clown mobiles each stuffed with number1 clowns .,how many clowns are inside all the clown mobiles combined ?
420,the next act involved several jugglers . if each juggler is juggling number0 balls at a time how many balls are needed if there are number1 jugglers putting a show at the same time ?,6 378,* number0 number1,2268.0,"[32, 33, 3, 4, 8, 11, 12, 13, 17, 24, 25, 26, 31]",3,Multiplication,the next act involved several jugglers . if each juggler is juggling number0 balls at a time,how many balls are needed if there are number1 jugglers putting a show at the same time ?
421,for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathers how many feathers are needed for number1 crowns ?,7 934,* number0 number1,6538.0,"[7, 8, 10, 11, 14, 18, 19, 20, 22, 28, 29, 30]",3,Multiplication,for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathers,how many feathers are needed for number1 crowns ?
422,amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours how far is sfl from the city ?,27 3,* number0 number1,81.0,"[32, 33, 34, 36, 43, 44, 45, 50, 51, 52]",3,Multiplication,amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours,how far is sfl from the city ?
423,when they got there they saw that sfl is already filled with people . every entrance has a long line with number0 people waiting to get in . if sfl has number1 entrances how many people in total are waiting to get in ?,283 5,* number0 number1,1415.0,"[32, 2, 6, 40, 41, 42, 11, 14, 20, 21, 22, 30, 31]",3,Multiplication,when they got there they saw that sfl is already filled with people . every entrance has a long line with number0 people waiting to get in . if sfl has number1 entrances,how many people in total are waiting to get in ?
424,determined to have fun they travelled to the next amusement park happyland . if they cover a distance of number0 feet for every minute of travel and they travelled for number1 minutes how far is happyland from sfl ?,328 9,* number0 number1,2952.0,"[35, 36, 37, 18, 19, 20, 22, 29, 30, 31]",3,Multiplication,determined to have fun they travelled to the next amusement park happyland . if they cover a distance of number0 feet for every minute of travel and they travelled for number1 minutes,how far is happyland from sfl ?
425,when they arrived at happyland they immediately went in and bought their tickets . if each ticket cost $ number0 and they bought number1 tickets how much did they spend on tickets ?,17.00 8,* number0 number1,136.0,"[3, 8, 10, 15, 18, 19, 20, 22, 23, 24, 29, 30, 31]",3,Multiplication,when they arrived at happyland they immediately went in and bought their tickets . if each ticket cost $ number0 and they bought number1 tickets,how much did they spend on tickets ?
426,he also has a section filled with short story booklets . if each booklet has number0 pages and there are number1 booklets in the short story section how many pages will jack need to go through if he plans to read them all ?,9 49,* number0 number1,441.0,"[3, 8, 40, 41, 42, 12, 14, 15, 16, 17, 19, 20, 21]",3,Multiplication,he also has a section filled with short story booklets . if each booklet has number0 pages and there are number1 booklets in the short story section,how many pages will jack need to go through if he plans to read them all ?
427,number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages . how many pages does the encyclopedia have in total ?,1 7 566,* number1 number2,3962.0,"[0, 1, 2, 32, 4, 33, 6, 7, 34, 17, 18, 19, 20, 21, 22, 23, 24]",3,Multiplication,number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages .,how many pages does the encyclopedia have in total ?
428,the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 books how many books does he have in the classics section ?,6 33,* number0 number1,198.0,"[33, 34, 35, 7, 12, 16, 17, 18, 19, 20, 21, 23, 24, 25]",3,Multiplication,the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 books,how many books does he have in the classics section ?
429,allen shiela 's brother likes to play with blocks . shiela repainted allen 's old blocks in different colors . if allen has number0 identical blocks and there are number1 blocks for every color of paint used how many colors did shiela use ?,49 7,/ number0 number1,7.0,"[32, 1, 2, 4, 8, 40, 41, 42, 22, 23, 24, 25, 28, 29, 30]",3,Common-Division,allen shiela 's brother likes to play with blocks . shiela repainted allen 's old blocks in different colors . if allen has number0 identical blocks and there are number1 blocks for every color of paint used,how many colors did shiela use ?
430,aside from drawing animals shiela is fond of painting flowers . if she has number0 paintings of flowers how many paintings can she give to each of her number1 grandmothers ?,18 2,/ number0 number1,9.0,"[2, 8, 12, 13, 14, 15, 25, 27, 28, 29]",3,Common-Division,aside from drawing animals shiela is fond of painting flowers . if she has number0 paintings of flowers,how many paintings can she give to each of her number1 grandmothers ?
431,it has been tradition in shiela 's home to hang a sock above the fireplace for each member of the family . this year she placed a cinnamon ball every day in the socks for number0 of her family members . how long can she do this if she bought number1 cinnamon balls ?,5 50,/ number1 number0,10.0,"[34, 35, 36, 8, 16, 49, 50, 51, 52, 29]",3,Common-Division,it has been tradition in shiela 's home to hang a sock above the fireplace for each member of the family . this year she placed a cinnamon ball every day in the socks for number0 of her family members .,how long can she do this if she bought number1 cinnamon balls ?
432,haley loves to collect things . this year she decided to give away part of her collection as it was taking too much space in her room . number0 of her closest friends like stickers . if she plans to give all of them an equal number of stickers how many will each receive if she has number1 stickers ?,9 72,/ number1 number0,8.0,"[52, 20, 56, 57, 58, 28, 29]",3,Common-Division,haley loves to collect things . this year she decided to give away part of her collection as it was taking too much space in her room . number0 of her closest friends like stickers . if she plans to give all of them an equal number of stickers,how many will each receive if she has number1 stickers ?
433,in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles how many will each of the boys receive ?,5 35,/ number1 number0,7.0,"[2, 3, 4, 5, 10, 15, 16, 17, 21, 23, 24, 25]",3,Common-Division,in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles,how many will each of the boys receive ?
434,when relatives visit haley and her family she and her cousins do origami . if she has number0 origami papers to give away to her number1 cousins how many will each receive if she gives everyone the same number of origami papers ?,48 6,/ number0 number1,8.0,"[2, 7, 39, 40, 41, 16, 17, 18, 19, 24, 25, 26, 30]",3,Common-Division,when relatives visit haley and her family she and her cousins do origami . if she has number0 origami papers to give away to her number1 cousins,how many will each receive if she gives everyone the same number of origami papers ?
435,a large bag of balls was kept under haley 's bed . her mom placed the balls in bags for children in foster homes . if every bag can contain number0 balls and haley has number1 balls how many bags will be used ?,4 36,/ number1 number0,9.0,"[34, 35, 36, 2, 4, 40, 9, 41, 42, 26, 29, 30, 31]",3,Common-Division,a large bag of balls was kept under haley 's bed . her mom placed the balls in bags for children in foster homes . if every bag can contain number0 balls and haley has number1 balls,how many bags will be used ?
436,haley has number0 magazines in her cabinet . she plans to send it to the recycling office in their area . if she places it in boxes which can contain number1 magazines how many boxes will she use ?,63 9,/ number0 number1,7.0,"[1, 2, 3, 35, 36, 37, 8, 29, 30, 31]",3,Common-Division,haley has number0 magazines in her cabinet . she plans to send it to the recycling office in their area . if she places it in boxes which can contain number1 magazines,how many boxes will she use ?
437,number0 bright sunny day betty decided to make bracelets from beautiful stones she bought from a local store . she bought number1 pink flower stones and wanted to make number2 bracelets out of these stones . how many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?,1 88 8,/ number1 number2,11.0,"[0, 1, 2, 3, 7, 8, 9, 42, 10, 20, 21, 22, 54, 24, 53, 55, 28, 29, 30]",3,Common-Division,number0 bright sunny day betty decided to make bracelets from beautiful stones she bought from a local store . she bought number1 pink flower stones and wanted to make number2 bracelets out of these stones .,how many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?
438,betty also bought number0 shiny blue round stones . if number1 pieces of this stone is in each bracelet how many bracelets of blue shiny round stones will there be ?,140 14,/ number0 number1,10.0,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 17, 27, 28, 29]",3,Common-Division,betty also bought number0 shiny blue round stones . if number1 pieces of this stone is in each bracelet,how many bracelets of blue shiny round stones will there be ?
439,brenda betty 's sister wanted to have number0 bracelets with star-shaped stones . she also bought number1 star-shaped stones from the local store and gave it to betty . how many star-shaped stones will there be in each of the bracelet betty makes for brenda ?,3 36,/ number1 number0,12.0,"[1, 2, 4, 37, 6, 7, 8, 10, 42, 43, 44, 15, 16, 17, 18]",3,Common-Division,brenda betty 's sister wanted to have number0 bracelets with star-shaped stones . she also bought number1 star-shaped stones from the local store and gave it to betty .,how many star-shaped stones will there be in each of the bracelet betty makes for brenda ?
440,shannon brenda 's neighbor joined brenda in making bracelets . she brought number0 heart-shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes . how many bracelets with heart-shaped stones can shannon make ?,48 8,/ number0 number1,6.0,"[1, 4, 39, 40, 41, 11, 12, 13, 14, 18, 19, 20, 26]",3,Common-Division,shannon brenda 's neighbor joined brenda in making bracelets . she brought number0 heart-shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes .,how many bracelets with heart-shaped stones can shannon make ?
441,brenda 's mother made cookies for number0 . if she prepared number1 cookies and each of them had the same number of cookies how many did each of them have ?,5 35,/ number1 number0,7.0,"[2, 3, 5, 6, 10, 11, 12, 14, 26, 27, 28, 29]",3,Common-Division,brenda 's mother made cookies for number0 . if she prepared number1 cookies and each of them had the same number of cookies,how many did each of them have ?
442,on the first saturday of spring jane woke up early to enjoy the whole day and help with chores at home . jane had been saving large empty cans to serve as pots for sunflowers . if she has number0 sunflower seeds and there are number1 cans how many seeds will be placed in each can if she places an equal number of seeds in each can ?,54 9,/ number0 number1,6.0,"[64, 65, 2, 3, 4, 5, 38, 39, 40, 41, 8, 66, 44, 45, 46, 12, 54]",3,Common-Division,on the first saturday of spring jane woke up early to enjoy the whole day and help with chores at home . jane had been saving large empty cans to serve as pots for sunflowers . if she has number0 sunflower seeds and there are number1 cans,how many seeds will be placed in each can if she places an equal number of seeds in each can ?
