,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
348,bryan took a look at his books as well . if he has number0 books distributed equally in number1 bookshelves how many books are there in each bookshelf ?,34 2,/ number0 number1,17.0,"[2, 11, 12, 13, 14, 17, 18, 19, 25, 26, 27]",Common-Division,23,bryan took a look at his books as well . if he has number0 books distributed equally in number1 bookshelves,how many books are there in each bookshelf ?
349,bryan took a look at his books as well . if he has a total of number0 books and each bookshelf contains number1 books how many bookshelves does he have ?,42 2,/ number0 number1,21.0,"[11, 15, 16, 17, 19, 21, 22, 23, 27, 28, 29]",Common-Division,23,bryan took a look at his books as well . if he has a total of number0 books and each bookshelf contains number1 books,how many bookshelves does he have ?
350,bryan took a look at his books and magazines . if he has number0 books and number1 magazines in each of his number2 bookshelves how many books does he have in total ?,27 80 23,* number0 number2,621.0,"[2, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 29, 30, 31]",Multiplication,33,bryan took a look at his books and magazines . if he has number0 books and number1 magazines in each of his number2 bookshelves,how many books does he have in total ?
351,bryan took a look at his books and magazines . if he has number0 books and number1 magazines in each of his number2 bookshelves how many magazines does he have in total ?,9 46 10,* number1 number2,460.0,"[2, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 29, 30, 31]",Multiplication,33,bryan took a look at his books and magazines . if he has number0 books and number1 magazines in each of his number2 bookshelves,how many magazines does he have in total ?
352,bryan took a look at his books and magazines . if he has number0 books and number1 magazines in each of his number2 bookshelves how many books and magazines does he have in total ?,23 61 29,* + number0 number1 number2,2436.0,"[32, 33, 2, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 31]",Multiplication,"33, 12",bryan took a look at his books and magazines . if he has number0 books and number1 magazines in each of his number2 bookshelves,how many books and magazines does he have in total ?
353,bryan took a look at his books as well . he has number0 bookshelves with each having the same number of books . if he has a total of number1 books how many books are there in each bookshelf ?,7 28,/ number1 number0,4.0,"[1, 36, 37, 38, 9, 11, 12, 13, 15, 28, 29, 30]",Common-Division,"23, 32",bryan took a look at his books as well . he has number0 bookshelves with each having the same number of books . if he has a total of number1 books,how many books are there in each bookshelf ?
354,bryan took a look at his books as well . each bookshelf contains number0 books . if he has a total of number1 books how many bookshelves does he have ?,2 38,/ number1 number0,19.0,"[2, 10, 12, 13, 14, 21, 22, 23, 27, 28, 29]",Common-Division,"23, 32",bryan took a look at his books as well . each bookshelf contains number0 books . if he has a total of number1 books,how many bookshelves does he have ?
355,carol was sending out birthday invitations to number0 friends . if each package of invitations she bought had number1 invitations in it how many packs does she need so that no friend gets left out ?,10 2,/ number0 number1,5.0,"[32, 33, 2, 34, 6, 7, 8, 11, 17, 18, 19]",Common-Division,23,carol was sending out birthday invitations to number0 friends . if each package of invitations she bought had number1 invitations in it,how many packs does she need so that no friend gets left out ?
356,carol was sending out birthday invitations to number0 friends . she bought number1 packs each one having the same number of invitations . how many invitations are in each pack ?,12 3,/ number0 number1,4.0,"[1, 6, 7, 8, 11, 12, 13, 14, 27, 28, 29]",Common-Division,23,carol was sending out birthday invitations to number0 friends . she bought number1 packs each one having the same number of invitations .,how many invitations are in each pack ?
357,carol was sending out birthday invitations to her friends . each package of invitations she bought had number0 invitations in it and she bought number1 packs . if she sends invitations to only number2 friends how many invitations will be left ?,10 7 2,- * number0 number1 number2,68.0,"[32, 33, 34, 2, 6, 38, 39, 9, 10, 40, 13, 16, 17, 18, 23, 24, 25]",Subtraction,22,carol was sending out birthday invitations to her friends . each package of invitations she bought had number0 invitations in it and she bought number1 packs . if she sends invitations to only number2 friends,how many invitations will be left ?
358,carol was sending out birthday invitations to her friends . each package of invitations she bought had number0 invitations in it and she bought number1 packs . then she bought number2 extra invitations . how many friends can she invite ?,14 6 11,+ * number0 number1 number2,95.0,"[32, 2, 4, 37, 6, 38, 39, 10, 13, 16, 17, 18, 23, 24, 25, 29, 30, 31]",Addition,21,carol was sending out birthday invitations to her friends . each package of invitations she bought had number0 invitations in it and she bought number1 packs . then she bought number2 extra invitations .,how many friends can she invite ?
359,carol was sending out birthday invitations to her friends . each package of invitations she bought had number0 invitations in it and she bought number1 packs . if she wants to invite number2 friends how many extra invitations will she need to buy ?,3 2 9,- number2 * number0 number1,3.0,"[32, 33, 2, 4, 6, 8, 9, 10, 40, 41, 13, 42, 15, 16, 17, 18, 23, 24, 25, 31]",Subtraction,22,carol was sending out birthday invitations to her friends . each package of invitations she bought had number0 invitations in it and she bought number1 packs . if she wants to invite number2 friends,how many extra invitations will she need to buy ?
360,melissa scored number0 points in each game . if she scored a total of number1 points how many games did she play ?,12 36,/ number1 number0,3.0,"[1, 2, 3, 5, 13, 14, 15, 19, 20, 21]",Common-Division,23,melissa scored number0 points in each game . if she scored a total of number1 points,how many games did she play ?
361,melissa played number0 games and scored a total of number1 points scoring the same for each game . how many points did she score in each game ?,3 81,/ number1 number0,27.0,"[1, 2, 3, 5, 8, 9, 10, 15, 24, 25, 26]",Common-Division,23,melissa played number0 games and scored a total of number1 points scoring the same for each game .,how many points did she score in each game ?
362,melissa scored number0 points in each game . she also got number1 bonus points in each game . how many points did she score in number2 games ?,109 82 79,* + number0 number1 number2,15089.0,"[1, 2, 3, 5, 10, 11, 12, 13, 15, 24, 25, 26]",Multiplication,21,melissa scored number0 points in each game . she also got number1 bonus points in each game .,how many points did she score in number2 games ?
363,melissa scored a total of number0 points playing some games . is she scored number1 points in each game . how many games did she play ?,21 7,/ number0 number1,3.0,"[2, 4, 5, 6, 13, 14, 15, 17, 23, 24, 25]",Common-Division,"23, 32",melissa scored a total of number0 points playing some games . is she scored number1 points in each game .,how many games did she play ?
364,melissa scored a total of number0 points in number1 games scoring the same for each game . how many points did she score in each game ?,91 13,/ number0 number1,7.0,"[1, 4, 5, 6, 7, 8, 9, 14, 23, 24, 25]",Common-Division,"23, 32",melissa scored a total of number0 points in number1 games scoring the same for each game .,how many points did she score in each game ?
365,the ferris wheel in paradise park has number0 seats . if number1 people can ride the wheel at the same time how many people can each seat hold ?,4 20,/ number1 number0,5.0,"[4, 6, 7, 8, 10, 11, 12, 14, 25, 26, 27]",Common-Division,23,the ferris wheel in paradise park has number0 seats . if number1 people can ride the wheel at the same time,how many people can each seat hold ?
366,the ferris wheel in paradise park has some seats . each seat can hold number0 people . if number1 people can ride the wheel at the same time how many seats does the ferris wheel have ?,9 18,/ number1 number0,2.0,"[33, 34, 3, 4, 35, 10, 13, 14, 15, 17, 18, 19]",Common-Division,23,the ferris wheel in paradise park has some seats . each seat can hold number0 people . if number1 people can ride the wheel at the same time,how many seats does the ferris wheel have ?
367,each ferris wheel in paradise park has number0 seats . each seat in a ferris wheel can hold number1 people . how many people can ride number2 ferris wheels at the same time ?,19 15 20,* * number0 number1 number2,5700.0,"[0, 1, 32, 4, 6, 7, 8, 10, 17, 18, 19, 25, 26, 27, 28, 30, 31]",Multiplication,22,each ferris wheel in paradise park has number0 seats . each seat in a ferris wheel can hold number1 people .,how many people can ride number2 ferris wheels at the same time ?
368,the ferris wheel in paradise park has number0 seats . each seat can hold number1 people . if number2 seats are broken how many people can ride the ferris wheel at the same time ?,18 15 10,* - number0 number2 number1,120.0,"[32, 33, 3, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 31]",Multiplication,21,the ferris wheel in paradise park has number0 seats . each seat can hold number1 people . if number2 seats are broken,how many people can ride the ferris wheel at the same time ?
369,the ferris wheel in paradise park has number0 seats . each seat can hold number1 people . if there are number2 people on the wheel right now how many more people can join the wheel ?,6 14 16,- * number0 number1 number2,68.0,"[32, 33, 2, 3, 34, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 20, 21]",Subtraction,22,the ferris wheel in paradise park has number0 seats . each seat can hold number1 people . if there are number2 people on the wheel right now,how many more people can join the wheel ?
370,the ferris wheel in paradise park has number0 small seats and number1 large seats . each small seat can hold number2 people and large seat can hold number3 people . how many people can ride the ferris wheel on small seats ?,2 23 14 54,* number0 number2,28.0,"[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 38, 15, 39, 40, 19, 20, 21, 26, 27, 28]",Multiplication,"21, 11",the ferris wheel in paradise park has number0 small seats and number1 large seats . each small seat can hold number2 people and large seat can hold number3 people .,how many people can ride the ferris wheel on small seats ?
371,the ferris wheel in paradise park has number0 small seats and number1 large seats . each small seat can hold number2 people and large seat can hold number3 people . how many people can ride the ferris wheel on large seats ?,3 7 16 12,* number1 number3,84.0,"[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 38, 15, 39, 40, 19, 20, 21, 26, 27, 28]",Multiplication,"21, 11",the ferris wheel in paradise park has number0 small seats and number1 large seats . each small seat can hold number2 people and large seat can hold number3 people .,how many people can ride the ferris wheel on large seats ?
372,number0 people can ride the ferris wheel in paradise park at the same time . if the ferris wheel has number1 seats how many people can each seat hold ?,16 4,/ number0 number1,4.0,"[0, 1, 3, 4, 8, 10, 19, 20, 21, 26, 27, 28]",Common-Division,"23, 32",number0 people can ride the ferris wheel in paradise park at the same time . if the ferris wheel has number1 seats,how many people can each seat hold ?
373,number0 people can ride the ferris wheel in paradise park at the same time . if each seat on the ferris wheel can hold number1 people how many seats does the ferris wheel have ?,4 2,/ number0 number1,2.0,"[0, 1, 32, 3, 33, 8, 16, 23, 24, 25, 31]",Common-Division,"23, 32",number0 people can ride the ferris wheel in paradise park at the same time . if each seat on the ferris wheel can hold number1 people,how many seats does the ferris wheel have ?
374,we ordered number0 pizzas . each pizza has the same number of slices . if there were a total of number1 slices how many slices are there in each pizza ?,7 14,/ number1 number0,2.0,"[1, 2, 3, 5, 9, 12, 19, 20, 21, 27, 28, 29]",Common-Division,23,we ordered number0 pizzas . each pizza has the same number of slices . if there were a total of number1 slices,how many slices are there in each pizza ?
375,we ordered some pizzas . each pizza has number0 slices . if there were a total of number1 slices how many pizzas did we order ?,2 28,/ number1 number0,14.0,"[2, 5, 7, 8, 9, 16, 17, 18, 22, 23, 24]",Common-Division,23,we ordered some pizzas . each pizza has number0 slices . if there were a total of number1 slices,how many pizzas did we order ?
376,we ordered number0 pizzas . each pizza has number1 slices . if there are number2 of us how many slices of pizza are there altogether ?,17 4 25,* number0 number1,68.0,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 15, 22, 23, 24]",Multiplication,21,we ordered number0 pizzas . each pizza has number1 slices . if there are number2 of us,how many slices of pizza are there altogether ?
377,we ordered number0 pizzas . each pizza has number1 slices . if there are number2 of us how many slices of pizza does each of us get if distributed equally ?,9 10 2,* number0 / number1 number2,45.0,"[1, 2, 3, 5, 7, 8, 9, 13, 14, 15, 23, 27, 28, 29]",Multiplication,"21, 11",we ordered number0 pizzas . each pizza has number1 slices . if there are number2 of us,how many slices of pizza does each of us get if distributed equally ?
378,paige was helping her mom plant flowers and together they planted some seeds . they put number0 seeds in each flower bed . if there are number1 flowerbeds how many seeds did they plant ?,10 45,* number0 number1,450.0,"[32, 1, 2, 33, 6, 10, 15, 16, 17, 19, 25, 26, 27, 31]",Multiplication,23,paige was helping her mom plant flowers and together they planted some seeds . they put number0 seeds in each flower bed . if there are number1 flowerbeds,how many seeds did they plant ?
379,paige was helping her mom plant flowers and together they planted number0 seeds in number1 flowerbeds . if they put same number of seeds in each flower bed how many seeds did they plant in each flowerbed ?,45 9,/ number0 number1,5.0,"[34, 35, 36, 10, 11, 12, 13, 14, 15, 16, 25]",Common-Division,23,paige was helping her mom plant flowers and together they planted number0 seeds in number1 flowerbeds . if they put same number of seeds in each flower bed,how many seeds did they plant in each flowerbed ?
380,paige was helping her mom plant flowers and together they planted number0 seeds . they put number1 seeds in each flower bed and only number2 seeds grew into flowers in each flower bed . how many flower beds did they have ?,36 12 58,/ number0 number1,3.0,"[1, 38, 39, 40, 10, 11, 12, 15, 16, 17, 19, 23, 24, 25, 30]",Common-Division,33,paige was helping her mom plant flowers and together they planted number0 seeds . they put number1 seeds in each flower bed and only number2 seeds grew into flowers in each flower bed .,how many flower beds did they have ?
381,paige was helping her mom plant flowers and together they planted number0 seeds . they put number1 seeds in each flower bed and only number2 seeds grew into flowers in each flower bed . how many flowers did they grow ?,55 15 60,* number2 / number0 number1,220.0,"[1, 37, 38, 39, 10, 11, 12, 15, 16, 17, 19, 23, 24, 25, 30]",Multiplication,"33, 13",paige was helping her mom plant flowers and together they planted number0 seeds . they put number1 seeds in each flower bed and only number2 seeds grew into flowers in each flower bed .,how many flowers did they grow ?
382,paige was helping her mom plant flowers and they put number0 seeds in each flower bed . if they planted number1 seeds altogther how many flower beds did they have ?,10 60,/ number1 number0,6.0,"[2, 9, 10, 11, 13, 19, 20, 21, 27, 28, 29]",Common-Division,32,paige was helping her mom plant flowers and they put number0 seeds in each flower bed . if they planted number1 seeds altogther,how many flower beds did they have ?
383,paige was helping her mom plant flowers in number0 flowerbeds . they planted number1 seeds altogether . if they put same number of seeds in each flower bed how many seeds did they plant in each flowerbed ?,8 32,/ number1 number0,4.0,"[1, 34, 35, 36, 7, 8, 9, 12, 13, 14, 16, 25]",Common-Division,"23, 32",paige was helping her mom plant flowers in number0 flowerbeds . they planted number1 seeds altogether . if they put same number of seeds in each flower bed,how many seeds did they plant in each flowerbed ?
384,matthew had some crackers . if matthew gave number0 crackers to each of his number1 friends how many crackers did matthew have ?,2 11,* number1 number0,22.0,"[1, 2, 7, 8, 9, 11, 12, 13, 14, 15, 16, 19, 20, 21]",Multiplication,23,matthew had some crackers . if matthew gave number0 crackers to each of his number1 friends,how many crackers did matthew have ?
385,matthew had number0 crackers to give to friends . if matthew gave number1 crackers to each his friends how many friends did he give crackers to ?,8 2,/ number0 number1,4.0,"[1, 2, 3, 11, 12, 13, 14, 15, 23, 24, 25]",Common-Division,23,matthew had number0 crackers to give to friends . if matthew gave number1 crackers to each his friends,how many friends did he give crackers to ?
386,matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends and still had number2 crackers left how many crackers did each friend eat ?,15 5 10,/ - number0 number2 number1,1.0,"[1, 2, 3, 13, 14, 15, 18, 19, 20, 23, 25, 26, 27, 28]",Common-Division,21,matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends and still had number2 crackers left,how many crackers did each friend eat ?
387,matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends and still had number2 crackers left how many crackers did matthew give to his friends ?,24 3 17,- number0 number2,7.0,"[1, 2, 3, 13, 14, 15, 18, 19, 20, 23, 27, 28, 29, 30]",Subtraction,"21, 11",matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends and still had number2 crackers left,how many crackers did matthew give to his friends ?
388,matthew had number0 crackers and number1 cakes . if matthew gave equal numbers of crackers and cakes to his number2 friends how many crackers did each person eat ?,22 34 11,/ number0 number2,2.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20, 22, 24, 25, 26, 27]",Common-Division,33,matthew had number0 crackers and number1 cakes . if matthew gave equal numbers of crackers and cakes to his number2 friends,how many crackers did each person eat ?
389,matthew had number0 crackers and number1 cakes . if matthew gave equal numbers of crackers and cakes to his number2 friends how many cakes did each person eat ?,29 30 2,/ number1 number2,15.0,"[1, 2, 3, 4, 5, 6, 14, 16, 18, 19, 20, 25, 26, 27]",Common-Division,"33, 12",matthew had number0 crackers and number1 cakes . if matthew gave equal numbers of crackers and cakes to his number2 friends,how many cakes did each person eat ?
390,matthew had number0 crackers and number1 cakes . if matthew gave equal numbers of crackers and cakes to his number2 friends how many crackers and cakes did each person eat ?,14 21 7,/ + number0 number1 number2,5.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20, 22, 26, 27, 28, 29]",Common-Division,"33, 13",matthew had number0 crackers and number1 cakes . if matthew gave equal numbers of crackers and cakes to his number2 friends,how many crackers and cakes did each person eat ?
391,matthew gave equal numbers of crackers to his number0 friends . if he had number1 crackers how many crackers did each person eat ?,18 36,/ number1 number0,2.0,"[2, 6, 7, 8, 9, 11, 13, 14, 15, 20, 21, 22]",Common-Division,32,matthew gave equal numbers of crackers to his number0 friends . if he had number1 crackers,how many crackers did each person eat ?
392,matthew gave number0 crackers to each his friends . if he had number1 crackers how many friends did he give crackers to ?,6 36,/ number1 number0,6.0,"[1, 2, 3, 5, 10, 11, 12, 13, 19, 20, 21]",Common-Division,"23, 32",matthew gave number0 crackers to each his friends . if he had number1 crackers,how many friends did he give crackers to ?
393,matthew had number0 crackers . he has number1 crackers left after he gave equal numbers of crackers to his number2 friends . how many crackers did each friend eat ?,23 11 2,/ - number0 number1 number2,6.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20, 26, 27, 28]",Common-Division,"21, 32",matthew had number0 crackers . he has number1 crackers left after he gave equal numbers of crackers to his number2 friends .,how many crackers did each friend eat ?
394,matthew had number0 crackers . he has number1 crackers left after he gave equal numbers of crackers to his number2 friends . how many crackers did matthew give to his friends ?,31 23 5,- number0 number1,8.0,"[1, 2, 3, 5, 6, 7, 8, 18, 19, 20, 28, 29, 30]",Subtraction,"21, 11, 32",matthew had number0 crackers . he has number1 crackers left after he gave equal numbers of crackers to his number2 friends .,how many crackers did matthew give to his friends ?
395,matthew gave equal numbers of crackers and cakes to his number0 friends . if he had number1 crackers and number2 cakes initially how many crackers did each person eat ?,4 32 98,/ number1 number0,8.0,"[2, 9, 10, 11, 15, 16, 17, 18, 19, 20, 26, 27, 28]",Common-Division,"33, 32",matthew gave equal numbers of crackers and cakes to his number0 friends . if he had number1 crackers and number2 cakes initially,how many crackers did each person eat ?
396,matthew gave equal numbers of crackers and cakes to his number0 friends . if he had number1 crackers and number2 cakes initially how many cakes did each person eat ?,4 10 8,/ number2 number0,2.0,"[2, 9, 10, 11, 15, 16, 17, 18, 19, 20, 26, 27, 28]",Common-Division,"33, 12, 32",matthew gave equal numbers of crackers and cakes to his number0 friends . if he had number1 crackers and number2 cakes initially,how many cakes did each person eat ?
397,matthew gave equal numbers of crackers and cakes to his number0 friends . if he had number1 crackers and number2 cakes initially how many crackers and cakes did each person eat ?,28 13 15,/ + number1 number2 number0,1.0,"[2, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 28, 29, 30]",Common-Division,"33, 13, 32",matthew gave equal numbers of crackers and cakes to his number0 friends . if he had number1 crackers and number2 cakes initially,how many crackers and cakes did each person eat ?
398,debby bought some water bottles when they were on sale . she drank number0 bottles a day . if the bottles lasted for number1 days how many bottles had she bought ?,109 74,* number0 number1,8066.0,"[1, 3, 8, 12, 13, 14, 22, 23, 24, 28, 29, 30]",Multiplication,23,debby bought some water bottles when they were on sale . she drank number0 bottles a day . if the bottles lasted for number1 days,how many bottles had she bought ?
399,debby bought number0 water bottles when they were on sale . she drank the same number of bottles each day . if the bottles lasted for number1 days how many bottles did she drink each day ?,153 17,/ number0 number1,9.0,"[1, 2, 3, 4, 34, 33, 35, 8, 12, 18, 25, 26, 27]",Common-Division,23,debby bought number0 water bottles when they were on sale . she drank the same number of bottles each day . if the bottles lasted for number1 days,how many bottles did she drink each day ?
400,debby bought number0 water bottles when they were on sale . if she drank number1 bottles a day for number2 days . how many bottles does she have left ?,264 15 11,- number0 * number1 number2,99.0,"[1, 2, 3, 4, 6, 13, 14, 15, 18, 19, 20, 26, 27, 28]",Subtraction,22,debby bought number0 water bottles when they were on sale . if she drank number1 bottles a day for number2 days .,how many bottles does she have left ?
401,debby bought number0 water bottles when they were on sale . if she drank number1 bottles a day for some days . if she has number2 bottles left how many days did she drink for ?,301 144 157,/ - number0 number2 number1,1.0,"[32, 1, 2, 3, 4, 33, 34, 13, 14, 15, 24, 25, 26]",Common-Division,"22, 23",debby bought number0 water bottles when they were on sale . if she drank number1 bottles a day for some days . if she has number2 bottles left,how many days did she drink for ?
402,debby bought number0 water bottles and number1 soda bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day how many days would the water bottles last ?,88 13 4 87,/ number0 number2,22.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 33, 34, 17, 18, 19, 20, 21, 22, 23, 24]",Common-Division,33,debby bought number0 water bottles and number1 soda bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day,how many days would the water bottles last ?
403,debby bought number0 water bottles and number1 soda bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day how many days would the soda bottles last ?,200 256 312 4,/ number1 number3,64.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 33, 34, 17, 18, 19, 20, 21, 22, 23, 24]",Common-Division,"33, 13",debby bought number0 water bottles and number1 soda bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day,how many days would the soda bottles last ?
404,debby drinks number0 bottles a day . if she bought a total of number1 water bottles how many days would they last her ?,6 12,/ number1 number0,2.0,"[1, 2, 3, 12, 13, 14, 15, 20, 21, 22]",Common-Division,32,debby drinks number0 bottles a day . if she bought a total of number1 water bottles,how many days would they last her ?
405,debby bought number0 soda bottles and number1 water bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day how many days would the water bottles last ?,95 180 15 54,/ number1 number2,12.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 33, 34, 17, 18, 19, 20, 21, 22, 23, 24]",Common-Division,"33, 31",debby bought number0 soda bottles and number1 water bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day,how many days would the water bottles last ?
406,debby bought number0 soda bottles and number1 water bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day how many days would the soda bottles last ?,360 162 122 9,/ number0 number3,40.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 33, 34, 17, 18, 19, 20, 21, 22, 23, 24]",Common-Division,"33, 13, 31",debby bought number0 soda bottles and number1 water bottles when they were on sale . if she drank number2 water bottles and number3 soda bottles a day,how many days would the soda bottles last ?
407,faye was placing her pencils into number0 rows with number1 pencils in each row . how many pencils does she have ?,14 11,* number0 number1,154.0,"[1, 2, 5, 6, 7, 8, 9, 10, 12, 18, 19, 20]",Multiplication,23,faye was placing her pencils into number0 rows with number1 pencils in each row .,how many pencils does she have ?
408,faye was placing number0 pencils equally into number1 rows . how many pencils did she place in each row ?,12 3,/ number0 number1,4.0,"[1, 2, 3, 4, 5, 6, 7, 8, 16, 17, 18]",Common-Division,23,faye was placing number0 pencils equally into number1 rows .,how many pencils did she place in each row ?
409,faye was placing her pencils into rows with number0 pencils in each row . she had number1 packs of pencils each one having number2 pencils . how many rows could she make ?,16 28 24,* number1 / number2 number0,42.0,"[1, 2, 7, 8, 9, 11, 15, 16, 17, 20, 22, 23, 24, 29, 30, 31]",Multiplication,22,faye was placing her pencils into rows with number0 pencils in each row . she had number1 packs of pencils each one having number2 pencils .,how many rows could she make ?
410,faye was placing her pencils into rows with number0 pencils in each row . she had number1 packs of pencils each one having number2 pencils . how many pencils does she have ?,22 6 14,* number1 number2,84.0,"[1, 2, 5, 7, 8, 9, 11, 15, 16, 17, 20, 22, 23, 24, 29, 30, 31]",Multiplication,22,faye was placing her pencils into rows with number0 pencils in each row . she had number1 packs of pencils each one having number2 pencils .,how many pencils does she have ?
411,faye was placing her pencils into rows with number0 pencils in each row . if she had number1 pencils and number2 crayons how many rows could she make ?,5 35 7,/ number1 number0,7.0,"[2, 7, 8, 9, 11, 16, 17, 18, 19, 20, 21, 25, 26, 27]",Common-Division,33,faye was placing her pencils into rows with number0 pencils in each row . if she had number1 pencils and number2 crayons,how many rows could she make ?
412,faye was placing her pencils and crayons into number0 rows with number1 pencils and number2 crayons in each row . how many pencils does she have ?,19 4 27,* number0 number1,76.0,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 23, 24, 25]",Multiplication,"23, 33",faye was placing her pencils and crayons into number0 rows with number1 pencils and number2 crayons in each row .,how many pencils does she have ?
413,faye was placing her pencils and crayons into number0 rows with number1 pencils and number2 crayons in each row . how many crayons does she have ?,7 36 30,* number0 number2,210.0,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 23, 24, 25]",Multiplication,"23, 33, 13",faye was placing her pencils and crayons into number0 rows with number1 pencils and number2 crayons in each row .,how many crayons does she have ?
414,faye was placing her pencils and crayons into number0 rows with number1 pencils and number2 crayons in each row . how many pencils and crayons does she have altogether ?,11 31 27,* + number1 number2 number0,638.0,"[1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 26, 27, 28]",Multiplication,"23, 33, 13",faye was placing her pencils and crayons into number0 rows with number1 pencils and number2 crayons in each row .,how many pencils and crayons does she have altogether ?
415,faye was placing number0 pencils into rows with number1 pencils in each row . how many rows could she make ?,30 5,/ number0 number1,6.0,"[2, 3, 4, 7, 8, 9, 11, 17, 18, 19]",Common-Division,32,faye was placing number0 pencils into rows with number1 pencils in each row .,how many rows could she make ?
416,faye was placing some pencils equally into number0 rows . if she had number1 pencils how many pencils did she place in each row ?,2 6,/ number1 number0,3.0,"[2, 6, 7, 8, 10, 12, 13, 14, 21, 22, 23]",Common-Division,"23, 32",faye was placing some pencils equally into number0 rows . if she had number1 pencils,how many pencils did she place in each row ?
417,faye had number0 packs of pencils each one having number1 pencils . she was placing her pencils into rows with number2 pencils in each row . how many rows could she make ?,35 4 2,* number0 / number1 number2,70.0,"[1, 2, 3, 6, 8, 9, 10, 19, 20, 21, 23, 29, 30, 31]",Multiplication,"22, 32",faye had number0 packs of pencils each one having number1 pencils . she was placing her pencils into rows with number2 pencils in each row .,how many rows could she make ?
418,faye had number0 packs of pencils each one having number1 pencils . she was placing her pencils into rows with number2 pencils in each row . how many pencils does she have ?,31 6 19,* number0 number1,186.0,"[1, 2, 3, 5, 6, 8, 9, 10, 19, 20, 21, 23, 29, 30, 31]",Multiplication,"22, 32",faye had number0 packs of pencils each one having number1 pencils . she was placing her pencils into rows with number2 pencils in each row .,how many pencils does she have ?
419,faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row . how many pencils does she have ?,30 71 24,* number0 number2,720.0,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 23, 24, 25]",Multiplication,"23, 33, 31",faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row .,how many pencils does she have ?
420,faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row . how many crayons does she have ?,16 6 21,* number0 number1,96.0,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 23, 24, 25]",Multiplication,"23, 33, 13, 31",faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row .,how many crayons does she have ?
421,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 school buses . if all buses are full how many seats are in each bus ?,21 98 7,/ number1 number2,14.0,"[1, 2, 35, 36, 4, 37, 10, 11, 12, 15, 16, 17, 21, 22, 23, 24]",Common-Division,23,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 school buses . if all buses are full,how many seats are in each bus ?
422,the school is planning a field trip . the school has number0 classrooms . number1 school buses are fully filled with number2 seats on each school bus . how many students are in the school ?,84 95 118,* number1 number2,11210.0,"[32, 33, 2, 34, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24]",Multiplication,23,the school is planning a field trip . the school has number0 classrooms . number1 school buses are fully filled with number2 seats on each school bus .,how many students are in the school ?
423,the school is planning a field trip . the school has number0 classrooms . there are number1 students in each classroom in the school . if there are number2 seats on each school bus how many buses are needed to take the trip ?,67 66 6,* number0 / number1 number2,737.0,"[1, 2, 40, 41, 10, 11, 12, 42, 15, 16, 17, 19, 27, 28, 29, 31]",Multiplication,22,the school is planning a field trip . the school has number0 classrooms . there are number1 students in each classroom in the school . if there are number2 seats on each school bus,how many buses are needed to take the trip ?
