,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
1522,carey and pat are moving chairs to the gym . they agreed to move number0 chairs . carey moved number1 chairs . pat has moved number2 chairs . how many more chairs do they have left to move ?,74 28 29,- - number0 number1 number2,17.0,"[1, 2, 3, 4, 35, 36, 7, 37, 13, 14, 15, 18, 19, 20, 24, 25, 26]",TVQ-Final,,carey and pat are moving chairs to the gym . they agreed to move number0 chairs . carey moved number1 chairs . pat has moved number2 chairs .,,3.0,how many more chairs do they have left to move ?
1523,jean had a bag of candy . she gave number0 pieces to her friend . jean ate number1 pieces . now she has number2 pieces left . how many pieces of candy did jean have at first ?,18 7 16,+ + number2 number1 number0,41.0,"[1, 2, 34, 35, 36, 7, 8, 9, 10, 16, 17, 18, 22, 23, 24]",TVQ-Initial,,jean had a bag of candy . she gave number0 pieces to her friend . jean ate number1 pieces . now she has number2 pieces left .,,3.0,how many pieces of candy did jean have at first ?
1524,charlene made number0 bead necklaces . she sold number1 at a craft fair . she gave number2 to her friends . how many necklaces did charlene have then ?,60 16 18,- - number0 number1 number2,26.0,"[1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 25, 26, 27]",TVQ-Final,,charlene made number0 bead necklaces . she sold number1 at a craft fair . she gave number2 to her friends .,,3.0,how many necklaces did charlene have then ?
1525,the coach bought number0 extra large pizzas for the team . there were number1 slices of pizza totally . after the team ate some of the slices there were number2 slices left . how many slices of pizza did the team eat ?,2 32 7,- number1 number2,25.0,"[1, 2, 3, 4, 5, 6, 39, 8, 9, 40, 41, 12, 13, 14, 28, 29, 30]",Difference,,the coach bought number0 extra large pizzas for the team . there were number1 slices of pizza totally . after the team ate some of the slices there were number2 slices left .,,3.0,how many slices of pizza did the team eat ?
1526,ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf . how many boxes of choco delights were missing ?,26 15 22,+ - number0 number2 number1,19.0,"[1, 4, 7, 8, 9, 40, 41, 42, 19, 20, 21, 28, 29, 30]",TVQ-Change,,ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf .,,3.0,how many boxes of choco delights were missing ?
1527,amy has number0 balloons . number1 of them are red and number2 are green . the rest of the balloons are blue . how many blue balloons does amy have ?,67 29 17,- - number0 number1 number2,21.0,"[1, 2, 3, 5, 6, 10, 11, 12, 27, 28, 29]",TVQ-Initial,,amy has number0 balloons . number1 of them are red and number2 are green . the rest of the balloons are blue .,,3.0,how many blue balloons does amy have ?
1528,number0 children and number1 adults went to the track meet . the stadium has number2 seats . how many seats were empty ?,52 29 95,- - number2 number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 13, 14, 15, 19, 20, 21]",TVQ-Final,,number0 children and number1 adults went to the track meet . the stadium has number2 seats .,,3.0,how many seats were empty ?
1529,mr. lee gave out first place ribbons after each event . he had number0 ribbons at the start . he gave away number1 ribbons in the morning . he gave out number2 ribbons in the afternoon . how many ribbons did mr. lee have left ?,38 14 16,- - number0 number1 number2,8.0,"[32, 1, 2, 3, 4, 8, 42, 43, 12, 13, 14, 44, 21, 22, 23, 30, 31]",TVQ-Final,,mr. lee gave out first place ribbons after each event . he had number0 ribbons at the start . he gave away number1 ribbons in the morning . he gave out number2 ribbons in the afternoon .,,3.0,how many ribbons did mr. lee have left ?
1530,alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game . how many marbles did alvin have then ?,57 2 18 25,+ - number0 number2 number3,64.0,"[32, 1, 2, 3, 33, 5, 6, 7, 10, 11, 12, 19, 20, 21, 31]",TVQ-Final,,alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game .,,3.0,how many marbles did alvin have then ?
1531,cheryl and lori started a lemonade stand on friday . they bought number0 plastic cups . they sold a lot of lemonade and only had number1 cups left . how many cups did cheryl and lori use ?,85 18,- number0 number1,67.0,"[1, 34, 3, 35, 36, 7, 8, 11, 12, 13, 14, 24, 25, 26]",Subtraction,,cheryl and lori started a lemonade stand on friday . they bought number0 plastic cups . they sold a lot of lemonade and only had number1 cups left .,,3.0,how many cups did cheryl and lori use ?
1532,cheryl counted number0 lemons . lori bought number1 more lemons . how many lemons do the girls have altogether ?,16 28,+ number0 number1,44.0,"[1, 2, 3, 6, 7, 8, 9, 16, 17, 18]",Addition,,cheryl counted number0 lemons . lori bought number1 more lemons .,,3.0,how many lemons do the girls have altogether ?
1533,coach mike bought several cups of lemonade . the girls told him it would cost number0 cents . the coach gave the girls number1 cents . how much change did coach mike get back ?,58 75,- number1 number0,17.0,"[32, 33, 2, 6, 14, 15, 16, 22, 23, 24, 31]",Subtraction,,coach mike bought several cups of lemonade . the girls told him it would cost number0 cents . the coach gave the girls number1 cents .,,3.0,how much change did coach mike get back ?
1534,liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books . how many books did they sell altogether ?,27 15,+ number0 number1,42.0,"[1, 5, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Addition,,liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books .,,3.0,how many books did they sell altogether ?
1535,scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books . how many comic books did scott and sam sell ?,90 25,- number0 number1,65.0,"[1, 2, 34, 35, 5, 36, 7, 8, 12, 13, 14, 15, 23, 24, 25, 26]",Subtraction,,scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books .,,3.0,how many comic books did scott and sam sell ?
1536,connie saved up $ number0 . she wants to buy a watch that costs $ number1 . how much more money does connie need ?,39 55,- number1 number0,16.0,"[1, 3, 4, 13, 14, 15, 21, 22, 23]",Subtraction,,connie saved up $ number0 . she wants to buy a watch that costs $ number1 .,,3.0,how much more money does connie need ?
1537,terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces . how many building pieces did they use altogether ?,37 45,+ number0 number1,82.0,"[1, 6, 10, 11, 12, 13, 16, 17, 18, 25, 26, 27]",Addition,,terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces .,,3.0,how many building pieces did they use altogether ?
1538,the smart mart sells educational toys . they sold number0 science kits last week . the sold number1 fewer puzzles than science kits . how many puzzles did the smart mart sell ?,45 9,- number0 number1,36.0,"[1, 8, 9, 10, 11, 16, 17, 18, 29, 30, 31]",Subtraction,,the smart mart sells educational toys . they sold number0 science kits last week . the sold number1 fewer puzzles than science kits .,,3.0,how many puzzles did the smart mart sell ?
1539,richard and bruno played miniature golf . richard 's score was number0 bruno 's score was number1 points lower than richard 's score . what was bruno 's score ?,62 14,- number0 number1,48.0,"[10, 11, 12, 16, 17, 18, 26, 27, 28]",Subtraction,,richard and bruno played miniature golf . richard 's score was number0 bruno 's score was number1 points lower than richard 's score .,,3.0,what was bruno 's score ?
1540,number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning . how many people visited the statue of liberty in the afternoon ?,35 56,+ number0 number1,91.0,"[0, 1, 2, 3, 32, 33, 11, 12, 13, 31]",Addition,,number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning .,,3.0,how many people visited the statue of liberty in the afternoon ?
1541,the giant ferris wheel can seat number0 people . there are number1 people waiting in line . how many people wo n't get on the ride this time ?,56 92,- number1 number0,36.0,"[1, 5, 6, 7, 10, 11, 12, 25, 26, 27]",Subtraction,,the giant ferris wheel can seat number0 people . there are number1 people waiting in line .,,3.0,how many people wo n't get on the ride this time ?
1542,erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day . how many miles did they ride altogether ?,2 37 55,+ number1 number2,92.0,"[1, 4, 5, 6, 8, 10, 11, 12, 17, 18, 19, 28, 29, 30]",Addition,,erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day .,,3.0,how many miles did they ride altogether ?
1543,greg wants to buy a $ number0 scooter . he has saved $ number1 so far . how much more money does greg need ?,90 57,- number0 number1,33.0,"[2, 5, 6, 7, 12, 13, 14, 21, 22, 23]",Subtraction,,greg wants to buy a $ number0 scooter . he has saved $ number1 so far .,,3.0,how much more money does greg need ?
1544,chris has number0 soccer cards . his friend charlie has number1 cards . how many fewer cards does chris have ?,18 32,- number1 number0,14.0,"[1, 2, 3, 4, 6, 9, 10, 11, 17, 18, 19]",Subtraction,,chris has number0 soccer cards . his friend charlie has number1 cards .,,3.0,how many fewer cards does chris have ?
1545,number0 campers went rowing in the morning . number1 campers went rowing in the afternoon . how many campers went rowing in all ?,35 27,+ number0 number1,62.0,"[0, 1, 2, 4, 5, 8, 9, 20, 21, 22]",Addition,,number0 campers went rowing in the morning . number1 campers went rowing in the afternoon .,,3.0,how many campers went rowing in all ?
1546,mrs. griffin went to the grocery store with $ number0 . she had $ number1 left after shopping . how much did mrs. griffin spend ?,70 16,- number0 number1,54.0,"[8, 9, 12, 13, 14, 15, 22, 23, 24]",Subtraction,,mrs. griffin went to the grocery store with $ number0 . she had $ number1 left after shopping .,,3.0,how much did mrs. griffin spend ?
1547,the library has number0 science books . the second graders borrowed number1 of them . how many science books are left ?,75 18,- number0 number1,57.0,"[1, 2, 3, 4, 5, 10, 11, 12, 18, 19, 20]",Subtraction,,the library has number0 science books . the second graders borrowed number1 of them .,,3.0,how many science books are left ?
1548,the wildcats scored number0 points in the first half of the game . the panthers scored number1 points . how many more points did the wildcats score ?,36 17,- number0 number1,19.0,"[1, 2, 3, 4, 7, 15, 16, 17, 24, 25, 26]",Subtraction,,the wildcats scored number0 points in the first half of the game . the panthers scored number1 points .,,3.0,how many more points did the wildcats score ?
1549,alexa and katerina stood on a scale together . the scale read number0 pounds . alexa knows she weighs number1 pounds . how much does katerina weigh ?,95 46,- number0 number1,49.0,"[2, 3, 11, 12, 13, 18, 19, 20, 24, 25, 26]",Subtraction,,alexa and katerina stood on a scale together . the scale read number0 pounds . alexa knows she weighs number1 pounds .,,3.0,how much does katerina weigh ?
1550,frannie and meg are in a jump rope contest . frannie jumped number0 times without missing . she jumped number1 fewer times than meg . how many times did meg jump ?,53 18,+ number0 number1,71.0,"[1, 3, 5, 11, 12, 13, 18, 19, 20, 21, 28, 29, 30]",Addition,,frannie and meg are in a jump rope contest . frannie jumped number0 times without missing . she jumped number1 fewer times than meg .,,3.0,how many times did meg jump ?
1551,the difference between number0 numbers is number1 the smaller number is number2 what is the larger number ?,2 24 46,+ number2 number1,70.0,"[2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16]",Addition,,the difference between number0 numbers is number1 the smaller number is number2 what,,3.0,is the larger number ?
1552,if you add number0 to a mystery number you will get number1 what is the mystery number ?,45 92,- number1 number0,47.0,"[2, 3, 4, 10, 11, 12, 14, 15, 16]",Subtraction,,if you add number0 to a mystery number you will get number1 what,,3.0,is the mystery number ?
1553,sam and erica have $ number0 together . sam has $ number1 . how does erica have ?,91 38,- number0 number1,53.0,"[1, 3, 4, 5, 6, 10, 11, 14, 15, 16]",Subtraction,,sam and erica have $ number0 together . sam has $ number1 .,,3.0,how does erica have ?
1554,wendy bought number0 inches of ribbon . she used number1 inches to wrap presents . how much ribbon did wendy have left ?,84 46,- number0 number1,38.0,"[1, 2, 3, 8, 9, 10, 19, 20, 21]",Subtraction,,wendy bought number0 inches of ribbon . she used number1 inches to wrap presents .,,3.0,how much ribbon did wendy have left ?
1555,the grasshopper and the frog had a jumping contest . the grasshopper jumped number0 inches . the frog jumped number1 inches farther than the grasshopper . how far did the frog jump ?,25 15,+ number0 number1,40.0,"[12, 13, 14, 18, 19, 20, 29, 30, 31]",Addition,,the grasshopper and the frog had a jumping contest . the grasshopper jumped number0 inches . the frog jumped number1 inches farther than the grasshopper .,,3.0,how far did the frog jump ?
1556,marco and his dad went strawberry picking . together their strawberries weighed number0 pounds . marco 's strawberries weighed number1 pounds . how much did his dad 's strawberries weigh ?,23 14,- number0 number1,9.0,"[3, 11, 12, 13, 18, 19, 20, 27, 28, 29]",Subtraction,,marco and his dad went strawberry picking . together their strawberries weighed number0 pounds . marco 's strawberries weighed number1 pounds .,,3.0,how much did his dad 's strawberries weigh ?
1557,miki bought number0 packs of red bouncy balls and number1 packs of yellow bouncy balls . each package contained number2 bouncy balls . how many more packs of red bouncy balls than yellow bouncy balls did miki buy ?,4 3 7,- number0 number1,1.0,"[1, 2, 3, 4, 5, 6, 35, 8, 9, 10, 36, 12, 13, 14, 16, 18, 19, 20, 21, 37]",Difference,,miki bought number0 packs of red bouncy balls and number1 packs of yellow bouncy balls . each package contained number2 bouncy balls .,,5.0,how many more packs of red bouncy balls than yellow bouncy balls did miki buy ?
1558,willy has number0 crayons . lucy has number1 crayons . how many more crayons does willy have than lucy ?,5092 3971,- number0 number1,1121.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Difference,,willy has number0 crayons . lucy has number1 crayons .,,5.0,how many more crayons does willy have than lucy ?
1559,a worker at a medical lab is studying blood samples . the first sample contained number0 blood cells . the second number1 contained number2 more than the first . about how many blood cells were in the second sample ?,1410 1 6908,+ number0 number2,8318.0,"[2, 3, 36, 37, 38, 9, 14, 15, 16, 17, 20, 21, 22, 23, 24]",Addition,,a worker at a medical lab is studying blood samples . the first sample contained number0 blood cells . the second number1 contained number2 more than the first .,,4.0,about how many blood cells were in the second sample ?
1560,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . about how many kids are in lawrence county ?,564237 495718,+ number0 number1,1059955.0,"[2, 3, 4, 7, 8, 13, 14, 15, 16, 24, 25, 26]",Addition,,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home .,,4.0,about how many kids are in lawrence county ?
1561,recently the postal service sold stamps with famous people pictured on them . they sold number0 color stamps as well as number1 black-and-white number2 . about how many stamps did they sell ?,578833 523776 1,+ number0 number1,1102609.0,"[1, 4, 14, 15, 16, 17, 18, 20, 21, 22, 23, 29, 30, 31]",Addition,,recently the postal service sold stamps with famous people pictured on them . they sold number0 color stamps as well as number1 black-and-white number2 .,,4.0,about how many stamps did they sell ?
1562,audrey has number0 peaches . paul has number1 peaches . what 's the difference of the number of audrey 's peaches and paul 's peaches ?,26 48,- number1 number0,22.0,"[1, 2, 3, 6, 7, 8, 22, 23, 24]",Difference,,audrey has number0 peaches . paul has number1 peaches .,,1.0,what 's the difference of the number of audrey 's peaches and paul 's peaches ?
1563,sharon has number0 plums . allan has number1 plums . what 's the difference of the number of sharon 's plums and allan 's plums ?,7 10,- number1 number0,3.0,"[1, 2, 3, 6, 7, 8, 22, 23, 24]",Difference,,sharon has number0 plums . allan has number1 plums .,,1.0,what 's the difference of the number of sharon 's plums and allan 's plums ?
1564,you have number0 balloons and your friend has number1 balloons . what 's the difference of the number of your balloons and your friend 's balloons ?,7 5,- number0 number1,2.0,"[1, 2, 3, 7, 8, 9, 23, 24, 25]",Difference,,you have number0 balloons and your friend has number1 balloons .,,1.0,what 's the difference of the number of your balloons and your friend 's balloons ?
1565,there are number0 birds and number1 nests . what 's the difference of the number of birds and nests over there ?,6 3,- number0 number1,3.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20]",Difference,,there are number0 birds and number1 nests .,,1.0,what 's the difference of the number of birds and nests over there ?
1566,there are number0 flowers and number1 bees . what 's the difference of the number of flowers and bees over there ?,5 3,- number0 number1,2.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20]",Difference,,there are number0 flowers and number1 bees .,,1.0,what 's the difference of the number of flowers and bees over there ?
1567,there are number0 squirrels in a tree with number1 nuts . what 's the difference of the number of squirrels and nuts over there ?,4 2,- number0 number1,2.0,"[1, 2, 3, 7, 8, 9, 21, 22, 23]",Difference,,there are number0 squirrels in a tree with number1 nuts .,,1.0,what 's the difference of the number of squirrels and nuts over there ?
1568,alyssa had number0 cookies . aiyanna has number1 what 's the difference of the number of alyssa 's cookies and aiyanna 's cookies ?,129 140,- number1 number0,11.0,"[2, 3, 4, 7, 8, 9, 20, 21, 22]",Difference,,alyssa had number0 cookies . aiyanna has number1 what,,2.0,'s the difference of the number of alyssa 's cookies and aiyanna 's cookies ?
1569,mrs. sheridan has number0 cats . mrs. garrett has number1 cats . what 's the difference of the number of mrs. sheridan 's cats and mrs. garrett 's cats ?,11 24,- number1 number0,13.0,"[2, 3, 4, 8, 9, 10, 26, 27, 28]",Difference,,mrs. sheridan has number0 cats . mrs. garrett has number1 cats .,,2.0,what 's the difference of the number of mrs. sheridan 's cats and mrs. garrett 's cats ?
1570,mrs. santiago has number0 red roses . mrs. garrett has number1 what 's the difference of the number of mrs. santiago 's red roses and mrs. garrett 's red roses ?,58 24,- number0 number1,34.0,"[2, 3, 4, 5, 9, 10, 11, 17, 27, 28, 29]",Difference,,mrs. santiago has number0 red roses . mrs. garrett has number1 what,,2.0,'s the difference of the number of mrs. santiago 's red roses and mrs. garrett 's red roses ?
1571,bobby has number0 books . kristi has number1 books . what 's the difference of the number of bobby 's books and kristi 's books ?,142 78,- number0 number1,64.0,"[1, 2, 3, 6, 7, 8, 22, 23, 24]",Difference,,bobby has number0 books . kristi has number1 books .,,2.0,what 's the difference of the number of bobby 's books and kristi 's books ?
1572,diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents . what 's the difference between the cost of the cookies and the money of diane ?,65 27,- number0 number1,38.0,"[32, 1, 2, 33, 34, 11, 12, 13, 16, 17, 18]",Difference,,diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .,,3.0,what 's the difference between the cost of the cookies and the money of diane ?
1573,there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions . what 's the difference between the number of all questions on the math test and the number of questions that steve can answer ?,45 17 28 38,- number0 number3,7.0,"[1, 2, 3, 9, 10, 12, 15, 16, 50, 51, 52, 21, 26, 27, 28]",Difference,,there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .,,3.0,what 's the difference between the number of all questions on the math test and the number of questions that steve can answer ?
1574,at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left . what 's the difference between the number of billy 's tickets he won and he had the left after buying yoyo ?,48 32,- number0 number1,16.0,"[5, 6, 7, 37, 38, 39, 14, 15, 16]",Difference,,at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .,,2.0,what 's the difference between the number of billy 's tickets he won and he had the left after buying yoyo ?
1575,for halloween frank got number0 pounds of candy . if he gave number1 pounds to nancy what 's the difference between the pounds of frank 's candy before he gave nancy and he gave to ?,15 8,- number0 number1,7.0,"[32, 33, 2, 3, 4, 5, 34, 11, 12, 13]",Difference,,for halloween frank got number0 pounds of candy . if he gave number1 pounds to nancy,,1.0,what 's the difference between the pounds of frank 's candy before he gave nancy and he gave to ?
1576,billy was playing basketball with his friend . billy scored number0 points and his friend scored number1 points . what 's the difference between billy 's points and his friend 's points ?,7 9,- number1 number0,2.0,"[1, 7, 9, 10, 11, 15, 16, 17, 29, 30, 31]",Difference,,billy was playing basketball with his friend . billy scored number0 points and his friend scored number1 points .,,4.0,what 's the difference between billy 's points and his friend 's points ?
1577,when maria got to the fair she had $ number0 . when she left she had $ number1 . what 's the difference between the number of dollars when maria got and left the fair ?,87 16,- number0 number1,71.0,"[32, 33, 34, 7, 8, 9, 15, 16, 17]",Difference,,when maria got to the fair she had $ number0 . when she left she had $ number1 .,,2.0,what 's the difference between the number of dollars when maria got and left the fair ?
1578,haley collected number0 cans for recycling . if she put number1 cans in number2 bag what 's the difference between the number of recycling cans that haley collected and put in the bag ?,9 7 1,- number0 number1,2.0,"[32, 1, 2, 3, 9, 10, 11, 12, 13, 14, 30, 31]",Difference,,haley collected number0 cans for recycling . if she put number1 cans in number2 bag,,4.0,what 's the difference between the number of recycling cans that haley collected and put in the bag ?
1579,a chef had number0 apples . after making some pies he had number1 left . what 's the difference between the number of apples before the chef made pies and the after the chef making pies ?,46 14,- number0 number1,32.0,"[33, 2, 3, 4, 5, 34, 35, 11, 12, 13]",Difference,,a chef had number0 apples . after making some pies he had number1 left .,,2.0,what 's the difference between the number of apples before the chef made pies and the after the chef making pies ?
1580,ted and fred measured their height . fred 's height is number0 inches . ted is number1 inches tall . what 's the difference between ted 's height and fred 's height ?,98 39,- number0 number1,59.0,"[10, 11, 12, 15, 16, 17, 29, 30, 31]",Difference,,ted and fred measured their height . fred 's height is number0 inches . ted is number1 inches tall .,,3.0,what 's the difference between ted 's height and fred 's height ?
1581,oliver was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds . what 's the difference between the weight of the first box and the third box ?,2 3 13,- number2 number0,11.0,"[36, 37, 38, 9, 10, 11, 14, 15, 16, 20, 21, 22]",Difference,,oliver was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds .,,1.0,what 's the difference between the weight of the first box and the third box ?
1582,kale mowed his lawn number0 times total during the spring . if he mowed it number1 times in the summer . what 's the difference between the number of times on mowing in the spring and summer ?,8 5,- number0 number1,3.0,"[34, 3, 4, 5, 35, 36, 14, 15, 16]",Difference,,kale mowed his lawn number0 times total during the spring . if he mowed it number1 times in the summer .,,4.0,what 's the difference between the number of times on mowing in the spring and summer ?
1583,a farmer had number0 tomatoes from his garden . if he picked number1 of them what 's the difference between the number of tomatoes before picking and he picked ?,17 9,- number0 number1,8.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",Difference,,a farmer had number0 tomatoes from his garden . if he picked number1 of them,,1.0,what 's the difference between the number of tomatoes before picking and he picked ?
1584,dave was picking up sticks from his yard . he picked up number0 but there were still number1 left . what 's the difference between the number of sticks that dave picked up and the left ?,14 4,- number0 number1,10.0,"[33, 34, 35, 11, 12, 13, 16, 17, 18]",Difference,,dave was picking up sticks from his yard . he picked up number0 but there were still number1 left .,,1.0,what 's the difference between the number of sticks that dave picked up and the left ?
1585,while playing a video game victor lost number0 lives . now he has number1 lives . what 's the difference between the number of the lives that victor lost and now ?,14 2,- number0 number1,12.0,"[2, 6, 7, 8, 12, 13, 14, 28, 29, 30]",Difference,,while playing a video game victor lost number0 lives . now he has number1 lives .,,1.0,what 's the difference between the number of the lives that victor lost and now ?
1586,a pet store had number0 gerbils . if they sold number1 of them what 's the difference between the number of gerbils that they had before selling and they sold ?,68 14,- number0 number1,54.0,"[3, 4, 5, 9, 10, 11, 27, 28, 29]",Difference,,a pet store had number0 gerbils . if they sold number1 of them,,2.0,what 's the difference between the number of gerbils that they had before selling and they sold ?
1587,tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's backpack weighs number2 pounds . they hiked number3 miles the first day . what 's the difference between the pounds of backpack of tripp and charlotte ?,36 25 18 9,- number1 number2,7.0,"[3, 6, 7, 8, 43, 44, 45, 14, 15, 16, 21, 22, 23, 26, 27, 28]",Difference,,tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's backpack weighs number2 pounds . they hiked number3 miles the first day .,,3.0,what 's the difference between the pounds of backpack of tripp and charlotte ?
1588,oliver had number0 cherries . after eating some he had number1 left . what 's the difference between the number of cherries that oliver had before eating and the left after eating ?,16 6,- number0 number1,10.0,"[1, 2, 3, 4, 9, 10, 11, 29, 30, 31]",Difference,,oliver had number0 cherries . after eating some he had number1 left .,,1.0,what 's the difference between the number of cherries that oliver had before eating and the left after eating ?
1589,a furniture store had number0 chairs . after selling some there was number1 left . what 's the difference between the number of chairs before selling and the left ?,15 3,- number0 number1,12.0,"[3, 4, 5, 11, 12, 13, 26, 27, 28]",Difference,,a furniture store had number0 chairs . after selling some there was number1 left .,,1.0,what 's the difference between the number of chairs before selling and the left ?
1590,a store has number0 shirts . after selling some there were number1 left . what 's the difference between of the number of shirts before selling and after selling ?,49 28,- number0 number1,21.0,"[2, 3, 4, 10, 11, 12, 26, 27, 28]",Difference,,a store has number0 shirts . after selling some there were number1 left .,,2.0,what 's the difference between of the number of shirts before selling and after selling ?
1591,zoe picked number0 apples from her tree . now the tree has number1 apples still on it . what 's the difference between the number of apples zoe picked and now the tree has ?,5 6,- number1 number0,1.0,"[32, 1, 2, 3, 33, 11, 12, 13, 31]",Difference,,zoe picked number0 apples from her tree . now the tree has number1 apples still on it .,,1.0,what 's the difference between the number of apples zoe picked and now the tree has ?
1592,a clown had number0 balloons . he gave number1 away at a party . what 's the difference between the number of balloons the clown had in the beginning and he gave away at a party ?,16 4,- number0 number1,12.0,"[33, 2, 3, 4, 34, 35, 7, 8, 9]",Difference,,a clown had number0 balloons . he gave number1 away at a party .,,1.0,what 's the difference between the number of balloons the clown had in the beginning and he gave away at a party ?
1593,the library has number0 science books . the second graders borrowed number1 of them . what 's the difference between the number of science books the library has in the beginning and the second graders borrowed ?,75 18,- number0 number1,57.0,"[33, 2, 3, 4, 5, 34, 35, 10, 11, 12]",Difference,,the library has number0 science books . the second graders borrowed number1 of them .,,3.0,what 's the difference between the number of science books the library has in the beginning and the second graders borrowed ?
1594,amy had some candy . she gave her friend number0 pieces and had number1 left . what 's the difference between of the pieces of candy amy gave away and the left ?,6 5,- number0 number1,1.0,"[1, 7, 8, 9, 10, 12, 13, 14, 29, 30, 31]",Difference,,amy had some candy . she gave her friend number0 pieces and had number1 left .,,1.0,what 's the difference between of the pieces of candy amy gave away and the left ?
1595,at a bus stop number0 people got off the bus . now there were number1 people on the bus . what 's the difference between the number of people getting off the bus and still on the bus ?,5 90,- number1 number0,85.0,"[2, 3, 4, 5, 6, 35, 36, 37, 13, 14, 15]",Difference,,at a bus stop number0 people got off the bus . now there were number1 people on the bus .,,2.0,what 's the difference between the number of people getting off the bus and still on the bus ?
1596,a fast food restaurant had number0 hotdogs . after selling some they had number1 left . what 's the difference between the number of hotdogs before selling and after selling ?,91 20,- number0 number1,71.0,"[4, 5, 6, 12, 13, 14, 27, 28, 29]",Difference,,a fast food restaurant had number0 hotdogs . after selling some they had number1 left .,,2.0,what 's the difference between the number of hotdogs before selling and after selling ?
1597,if number0 pack of gum costs $ number1 how many packs of gum can you buy with $ number2 ?,1 2 16,/ number2 number1,8.0,"[0, 1, 2, 5, 6, 7, 8, 16, 17, 18, 19]",Common-Division,,if number0 pack of gum costs $ number1,,3.0,how many packs of gum can you buy with $ number2 ?
1598,kim wants to buy a new watch that costs $ number0 . how much change does she receive if she gives the cashier $ number1 ?,87.60 100,- number1 number0,12.4,"[9, 10, 22, 23, 24, 25]",Subtraction,,kim wants to buy a new watch that costs $ number0 .,,5.0,how much change does she receive if she gives the cashier $ number1 ?
1599,after paying $ number0 for a drink bryon has $ number1 . how much money did he have before buying the drink ?,2.30 17.15,+ number0 number1,19.45,"[1, 2, 3, 4, 8, 9, 10, 19, 20, 21]",Addition,,after paying $ number0 for a drink bryon has $ number1 .,,5.0,how much money did he have before buying the drink ?
1600,if number0 round costs $ number1 how many rounds of golf can you play with $ number2 ?,1 80 400,/ number2 number1,5.0,"[0, 1, 2, 3, 4, 5, 6, 14, 15, 16, 17]",Common-Division,,if number0 round costs $ number1,,3.0,how many rounds of golf can you play with $ number2 ?
1601,last week adam ran number0 miles more than katie . adam ran number1 miles . how many miles did katie run ?,25 35,- number1 number0,10.0,"[1, 3, 4, 5, 11, 12, 13, 18, 19, 20]",Subtraction,,last week adam ran number0 miles more than katie . adam ran number1 miles .,,3.0,how many miles did katie run ?
1602,last week howard had number0 dollars . he washed windows over the weekend and now has number1 dollars . how much money did he make washing windows ?,26 52,- number1 number0,26.0,"[3, 4, 5, 8, 15, 16, 17, 24, 25, 26]",Subtraction,,last week howard had number0 dollars . he washed windows over the weekend and now has number1 dollars .,,3.0,how much money did he make washing windows ?
